GEOID,date,hour_range,risk_score,risk_level,risk_decile
06075020500,2025-10-25,09-12,0.5440262861277703,medium,6
06075020500,2025-10-25,12-15,1.681853734675974e-05,low,1
06075020500,2025-10-25,15-18,0.9998969459230104,high,9
06075020500,2025-10-25,18-21,0.9997332746229274,medium,8
06075020500,2025-10-25,21-24,0.999793696789798,medium,8
06075031302,2025-10-25,00-03,1.681853734675974e-05,low,1
06075031302,2025-10-25,03-06,0.1882056193754161,low,4
06075031302,2025-10-25,06-09,1.681853734675974e-05,low,1
06075031302,2025-10-25,09-12,0.7837670748382392,medium,6
06075031302,2025-10-25,12-15,1.681853734675974e-05,low,1
06075031302,2025-10-25,15-18,0.7218943501683394,medium,6
06075031302,2025-10-25,18-21,0.8739546506142531,medium,6
06075031302,2025-10-25,21-24,1.681853734675974e-05,low,1
06075016000,2025-10-25,00-03,0.43321761276909426,medium,5
06075016000,2025-10-25,03-06,1.681853734675974e-05,low,1
06075016000,2025-10-25,06-09,0.9994810147562234,medium,7
06075016000,2025-10-25,09-12,0.9999643303406371,high,9
06075016000,2025-10-25,12-15,1.681853734675974e-05,low,1
06075016000,2025-10-25,15-18,0.9999580670708621,high,9
06075016000,2025-10-25,18-21,0.9993489813494981,medium,7
06075016000,2025-10-25,21-24,0.999959759100382,high,9
06075020401,2025-10-25,00-03,0.9994766897292237,medium,7
06075020401,2025-10-25,03-06,0.9986082082500218,medium,7
06075020401,2025-10-25,06-09,1.681853734675974e-05,low,1
06075020401,2025-10-25,09-12,0.9995915652725367,medium,8
06075020401,2025-10-25,12-15,1.681853734675974e-05,low,1
06075020401,2025-10-25,15-18,0.9995935052002871,medium,8
06075020401,2025-10-25,18-21,0.0688616479729451,low,4
06075020401,2025-10-25,21-24,1.681853734675974e-05,low,1
06075032700,2025-10-25,00-03,1.681853734675974e-05,low,1
06075032700,2025-10-25,03-06,0.14742599176946491,low,4
06075032700,2025-10-25,06-09,0.1392557701426004,low,4
06075032700,2025-10-25,09-12,1.681853734675974e-05,low,1
06075032700,2025-10-25,12-15,1.681853734675974e-05,low,1
06075032700,2025-10-25,15-18,0.17428208385091123,low,4
06075032700,2025-10-25,18-21,1.681853734675974e-05,low,1
06075032700,2025-10-25,21-24,1.681853734675974e-05,low,1
06075015500,2025-10-25,00-03,0.29917786364297105,medium,5
06075015500,2025-10-25,03-06,2.352310652712177e-05,low,3
06075015500,2025-10-25,06-09,0.18830210571161374,low,4
06075015500,2025-10-25,09-12,0.9996270563272991,medium,8
06075015500,2025-10-25,12-15,0.9996079219658036,medium,8
06075015500,2025-10-25,15-18,0.9994591586480721,medium,7
06075015500,2025-10-25,18-21,0.999966640307858,high,9
06075015500,2025-10-25,21-24,0.9999726865507111,critical,10
06075013401,2025-10-25,00-03,2.352310652712177e-05,low,3
06075013401,2025-10-25,03-06,0.003815615712334369,low,4
06075013401,2025-10-25,06-09,2.352310652712177e-05,low,3
06075013401,2025-10-25,09-12,0.46260914060278047,medium,5
06075013401,2025-10-25,12-15,2.352310652712177e-05,low,3
06075013401,2025-10-25,15-18,2.352310652712177e-05,low,3
06075013401,2025-10-25,18-21,0.6567552605085903,medium,6
06075013401,2025-10-25,21-24,2.352310652712177e-05,low,3
06075022901,2025-10-25,00-03,0.9999629240387952,high,9
06075022901,2025-10-25,03-06,0.9999434412181794,high,9
06075022901,2025-10-25,06-09,0.9999568275716362,high,9
06075022901,2025-10-25,09-12,1.681853734675974e-05,low,1
06075022901,2025-10-25,12-15,0.999960277885399,high,9
06075022901,2025-10-25,15-18,0.9999602613557134,high,9
06075022901,2025-10-25,18-21,0.28573641209798256,medium,5
06075022901,2025-10-25,21-24,1.681853734675974e-05,low,1
06075060400,2025-10-25,00-03,0.9984538959665957,medium,7
06075060400,2025-10-25,03-06,1.681853734675974e-05,low,1
06075060400,2025-10-25,06-09,1.681853734675974e-05,low,1
06075060400,2025-10-25,09-12,0.9985801963397256,medium,7
06075060400,2025-10-25,12-15,1.681853734675974e-05,low,1
06075060400,2025-10-25,15-18,0.9997030790520465,medium,8
06075060400,2025-10-25,18-21,0.998717760437818,medium,7
06075060400,2025-10-25,21-24,0.4036395769887585,medium,5
06075018000,2025-10-25,00-03,0.9999704766016388,critical,10
06075018000,2025-10-25,03-06,0.999971738767864,critical,10
06075018000,2025-10-25,06-09,0.9991629551244502,medium,7
06075018000,2025-10-25,09-12,0.9999650529059579,high,9
06075018000,2025-10-25,12-15,0.9999690503354185,high,9
06075018000,2025-10-25,15-18,0.9999693253099395,high,9
06075018000,2025-10-25,18-21,0.9999690503354185,high,9
06075018000,2025-10-25,21-24,0.9927514383770013,medium,6
06075010701,2025-10-25,00-03,0.3770053814027031,medium,5
06075010701,2025-10-25,03-06,2.352310652712177e-05,low,3
06075010701,2025-10-25,06-09,2.352310652712177e-05,low,3
06075010701,2025-10-25,09-12,0.999658712307922,medium,8
06075010701,2025-10-25,12-15,0.6426021303407017,medium,6
06075010701,2025-10-25,15-18,2.352310652712177e-05,low,3
06075010701,2025-10-25,18-21,0.3373981205310009,medium,5
06075010701,2025-10-25,21-24,0.490799055766125,medium,6
06075020402,2025-10-25,00-03,0.9997874171613346,medium,8
06075020402,2025-10-25,03-06,0.9073816613108648,medium,6
06075020402,2025-10-25,06-09,0.4769516022572236,medium,5
06075020402,2025-10-25,09-12,0.5786943659309844,medium,6
06075020402,2025-10-25,12-15,0.5964837092473858,medium,6
06075020402,2025-10-25,15-18,1.681853734675974e-05,low,1
06075020402,2025-10-25,18-21,0.5790286055475695,medium,6
06075020402,2025-10-25,21-24,1.681853734675974e-05,low,1
06075012405,2025-10-25,00-03,0.9999701408797952,critical,10
06075012405,2025-10-25,03-06,0.7140428580191716,medium,6
06075012405,2025-10-25,06-09,0.9999729561752739,critical,10
06075012405,2025-10-25,09-12,0.9999684911906462,high,9
06075012405,2025-10-25,12-15,0.9999693253099395,high,9
06075012405,2025-10-25,15-18,0.9999693253099395,high,9
06075012405,2025-10-25,18-21,0.9999693253099395,high,9
06075012405,2025-10-25,21-24,0.9992848683462489,medium,7
06075023001,2025-10-25,00-03,0.21075842945038317,low,4
06075023001,2025-10-25,03-06,2.352310652712177e-05,low,3
06075023001,2025-10-25,06-09,0.9999754763250015,critical,10
06075023001,2025-10-25,09-12,0.9999711663455966,critical,10
06075023001,2025-10-25,12-15,0.9996270563272991,medium,8
06075023001,2025-10-25,15-18,0.9999726865507111,critical,10
06075023001,2025-10-25,18-21,0.9999698431878294,critical,10
06075023001,2025-10-25,21-24,0.9999726751845402,critical,10
06075011002,2025-10-25,00-03,0.2312546468940128,low,4
06075011002,2025-10-25,03-06,2.352310652712177e-05,low,3
06075011002,2025-10-25,06-09,2.352310652712177e-05,low,3
06075011002,2025-10-25,09-12,0.9996801933384808,medium,8
06075011002,2025-10-25,12-15,0.7034537455070883,medium,6
06075011002,2025-10-25,15-18,0.9956130743576205,medium,7
06075011002,2025-10-25,18-21,2.352310652712177e-05,low,3
06075011002,2025-10-25,21-24,0.9996778669617687,medium,8
06075012203,2025-10-25,00-03,0.668169132888982,medium,6
06075012203,2025-10-25,03-06,0.9997081585144297,medium,8
06075012203,2025-10-25,06-09,0.9998041447638938,medium,8
06075012203,2025-10-25,09-12,0.9997171520857725,medium,8
06075012203,2025-10-25,12-15,0.9999172089393629,high,9
06075012203,2025-10-25,15-18,0.9997534255619419,medium,8
06075012203,2025-10-25,18-21,0.8436297156812311,medium,6
06075012203,2025-10-25,21-24,0.002256529762752144,low,4
06075030800,2025-10-25,00-03,0.9999187079892065,high,9
06075030800,2025-10-25,03-06,0.9994505481217802,medium,7
06075030800,2025-10-25,06-09,0.9991601828803642,medium,7
06075030800,2025-10-25,09-12,0.9994383448445622,medium,7
06075030800,2025-10-25,12-15,0.8608132088790952,medium,6
06075030800,2025-10-25,15-18,0.9999726751845402,critical,10
06075030800,2025-10-25,18-21,1.681853734675974e-05,low,1
06075030800,2025-10-25,21-24,0.31397166505610374,medium,5
06075015801,2025-10-25,00-03,1.681853734675974e-05,low,1
06075015801,2025-10-25,03-06,0.22985359267342947,low,4
06075015801,2025-10-25,06-09,0.9995272217404337,medium,7
06075015801,2025-10-25,09-12,1.681853734675974e-05,low,1
06075015801,2025-10-25,12-15,0.9999418574268611,high,9
06075015801,2025-10-25,15-18,0.999960277885399,high,9
06075015801,2025-10-25,18-21,1.681853734675974e-05,low,1
06075015801,2025-10-25,21-24,0.9994990490546293,medium,7
