GEOID,date,hour_range,risk_score,risk_level,risk_decile,expected_count,top1_category,top1_prob,top1_expected,top2_category,top2_prob,top2_expected,top3_category,top3_prob,top3_expected
06075015801,,18-21,1.7192586298315802e-05,low,1,0.020000000000000004,Burglary,0.013244838192804309,0.013333333333333336,Larceny Theft,0.006644493744965563,0.006666666666666668,,0.0,0.0
06075015801,,21-24,0.9996695328693077,medium,8,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075980600,,00-03,0.17265345672775392,low,4,0.18096811132794596,Larceny Theft,0.024137301289803625,0.02443338001608766,Other Miscellaneous,0.019672816606212562,0.019868902430664692,Warrant,0.018619384792663007,0.018794907704682815
06075980600,,03-06,2.562991823954915e-05,low,3,0.020000000000000004,Motor Vehicle Theft,0.006644493744965563,0.006666666666666668,Other Miscellaneous,0.006644493744965563,0.006666666666666668,Recovered Vehicle,0.006644493744965563,0.006666666666666668
06075980600,,06-09,1.7192586298315802e-05,low,1,0.013333333333333334,Assault,0.006644493744965563,0.006666666666666667,Disorderly Conduct,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075980600,,09-12,1.7192586298315802e-05,low,1,0.03333333333333333,Assault,0.013244838192804309,0.013333333333333334,Other Miscellaneous,0.013244838192804309,0.013333333333333334,Burglary,0.006644493744965563,0.006666666666666667
06075980600,,12-15,0.9998035070788471,medium,8,0.3457983193277311,Larceny Theft,0.08030682030858716,0.08371516489807602,Assault,0.04119534562586791,0.042067922059334684,Malicious Mischief,0.027792002075305078,0.028185507779754235
06075980600,,15-18,0.673271464855853,medium,6,0.1,Arson,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075980600,,18-21,0.33400659242472946,medium,5,0.1,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075980600,,21-24,0.22124902007784977,low,5,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075011700,,00-03,0.9999613086920996,high,9,1.2310337937768223,Warrant,0.31530351660968126,0.3787796288544069,Larceny Theft,0.17253611354312337,0.18938981442720346,Burglary,0.0903495800820644,0.09469490721360173
06075011700,,03-06,0.9999648606522151,critical,10,1.4724042486703404,Larceny Theft,0.44509685804623245,0.5889616994681361,Malicious Mischief,0.209891246065265,0.23558467978725448,Fraud,0.11111938150574174,0.11779233989362724
06075011700,,06-09,0.999962947880312,high,9,1.6472078681456437,Larceny Theft,0.5500623399789359,0.7986462391009181,Assault,0.13907352219424196,0.14974616983142217,Lost Property,0.13907352219424196,0.14974616983142217
